player_score,opponent_score,best_n,best_rating
0,0,24,0.5138417330406202
0,1,24,0.5135340405027772
0,2,24,0.5134987989727836
0,3,24,0.513466153483541
0,4,24,0.5131181913201831
0,5,24,0.5128351589739052
0,6,24,0.5127775294586338
0,7,24,0.5127484579127927
0,8,24,0.5123632721146592
0,9,24,0.5121167793271102
0,10,24,0.5120407592474482
0,11,24,0.5120172855679537
0,12,24,0.5115947066395837
0,13,24,0.5113493444682186
0,14,23,0.511288709495826
0,15,23,0.5112786812866565
0,16,24,0.5108113532708933
0,17,23,0.5105412928727159
0,18,23,0.5106088824575951
0,19,23,0.510587277841496
0,20,23,0.5100982076153248
0,21,23,0.5097998300385036
0,22,23,0.5098990133752428
0,23,23,0.5098670430735998
0,24,23,0.5093531917346568
0,25,23,0.5090213550475327
0,26,23,0.5091493438741457
0,27,23,0.5091230005872637
0,28,23,0.5085593147600156
0,29,23,0.5082060042895492
0,30,23,0.5083432512949922
0,31,23,0.5083547193767023
0,32,23,0.5077252457662751
0,33,23,0.507349583464851
0,34,23,0.5074872546299277
0,35,23,0.5075478009634365
0,36,23,0.5068509933614112
0,37,23,0.5064455090786684
0,38,23,0.5065698474748537
0,39,23,0.5067044841883112
0,40,23,0.5059388009722801
0,41,23,0.5054723783530087
0,42,23,0.5055789447153304
0,43,23,0.5058094638643925
0,44,23,0.5049858850910894
0,45,23,0.504435615306462
0,46,23,0.5044915196907802
0,47,23,0.5048504300464091
0,48,23,0.5039925102817597
0,49,23,0.5033332768130134
0,50,23,0.5033041873238289
0,51,23,0.5037703586320513
0,52,23,0.5029616722378427
0,53,23,0.5021614011636008
0,54,23,0.5019941452821717
0,55,23,0.5025056351804671
0,56,23,0.5018795788243582
0,57,23,0.5009155380963008
0,58,23,0.5005392416726965
0,59,23,0.5009955776317327
0,60,23,0.5007684722751057
0,61,23,0.49959045615075565
0,62,23,0.4989299173289795
0,63,23,0.49922826914747087
0,64,23,0.49955598989257133
0,65,23,0.49821777088788544
0,66,23,0.49717219690918163
0,67,23,0.49714133977506475
0,68,23,0.4979737511401466
0,69,23,0.4968470451372144
0,70,23,0.4952766455627355
0,71,23,0.4946863087030104
0,72,23,0.49556475372504216
0,73,23,0.4955722652645917
0,74,23,0.4933558607877942
0,75,23,0.49184841924306894
0,76,23,0.4920893710845115
0,77,23,0.4937708871154146
0,78,23,0.49154690487832525
0,79,23,0.4888888194862666
0,80,23,0.48762661334112295
0,81,23,0.4894538294915152
0,82,23,0.48995158360829133
0,83,23,0.48541689826017625
0,84,23,0.482225662944852
0,85,23,0.4823970906921495
0,86,23,0.4883539277387293
0,87,23,0.4856218054415827
0,88,23,0.4706811223848719
0,89,23,0.4686948646457765
0,90,23,0.4766810219770764
0,91,23,0.49619160440141724
0,92,23,0.4854110843078034
0,93,24,0.45267794938017436
0,94,24,0.39895653694629896
0,95,24,0.4724520771283972
0,96,25,0.4678246177851871
0,97,26,0.39554343412923176
0,98,26,0.3028506429764294
0,99,26,0.19136991626412322
0,100,27,0.06653527325790153
1,0,23,0.514142432633764
1,1,23,0.5138510834077182
1,2,23,0.5138502763375811
1,3,23,0.513862112125136
1,4,23,0.5134895502957256
1,5,23,0.513216962811661
1,6,23,0.5132140635056326
1,7,23,0.5132167746215432
1,8,23,0.5128112183369131
1,9,23,0.5125632969895434
1,10,23,0.5125597693295146
1,11,23,0.5125554981061868
1,12,23,0.512116675045275
1,13,23,0.5118712312352789
1,14,23,0.5118785473328894
1,15,23,0.5118670508595045
1,16,23,0.5114043546797957
1,17,23,0.5111269440945473
1,18,23,0.5111713735769402
1,19,23,0.5111480400381481
1,20,23,0.5106672978404537
1,21,23,0.510355676198165
1,22,23,0.5104352094906552
1,23,23,0.5103994094913779
1,24,23,0.5098958397032818
1,25,23,0.5095463773247157
1,26,23,0.5096590851044693
1,27,23,0.5096269904049605
1,28,23,0.5090707804098583
1,29,23,0.5087006444123595
1,30,23,0.5088237470223903
1,31,23,0.5088298776370305
1,32,23,0.5082036174299489
1,33,23,0.5078145371520097
1,34,23,0.5079395850116096
1,35,23,0.5079909498076237
1,36,23,0.5072944635516938
1,37,23,0.5068810961103843
1,38,23,0.506995265728652
1,39,23,0.5071138511862364
1,40,23,0.5063468548799783
1,41,23,0.5058748102570335
1,42,23,0.5059789196674268
1,43,23,0.5061832182478151
1,44,23,0.505357748220666
1,45,23,0.5048041872428108
1,46,23,0.5048636744138932
1,47,23,0.5051911233229963
1,48,23,0.5043269892792167
1,49,23,0.5036682052030942
1,50,23,0.5036493126282567
1,51,23,0.5040847698404983
1,52,23,0.5032574876745033
1,53,23,0.5024627974870866
1,54,23,0.5023112451159432
1,55,23,0.5027993333353055
1,56,23,0.5021296891186295
1,57,23,0.5011821237076077
1,58,23,0.5008256155945235
1,59,23,0.5012745635231696
1,60,23,0.5009734027219971
1,61,23,0.49981682995337834
1,62,23,0.4991828147941081
1,63,23,0.49949702241075933
1,64,23,0.49973308572534175
1,65,23,0.49840117357665015
1,66,23,0.49739127297309194
1,67,23,0.4974007466564563
1,68,23,0.49816735675405416
1,69,23,0.49698268437494697
1,70,23,0.4954605382368542
1,71,23,0.49493639095177594
1,72,23,0.4958115749943666
1,73,23,0.49565831395946386
1,74,23,0.493499382751605
1,75,23,0.49209036499507647
1,76,23,0.4923932361408501
1,77,23,0.4939009330710507
1,78,23,0.49164092466873544
1,79,23,0.4891217004331007
1,80,23,0.48798920838374116
1,81,23,0.48981788162840334
1,82,23,0.4899772006041937
1,83,23,0.4856385335862753
1,84,23,0.48265328296825505
