player_score,opponent_score,best_n,best_rating
0,0,1,1.0
0,1,2,1.0
0,2,3,1.0
0,3,4,1.0
0,4,5,1.0
0,5,6,1.0
0,6,7,1.0
0,7,8,1.0
0,8,9,1.0
0,9,10,1.0
0,10,11,1.0
0,11,12,1.0
0,12,13,1.0
0,13,14,1.0
0,14,15,1.0
0,15,16,1.0
0,16,16,0.9999999999998227
0,17,17,0.9999999999989071
0,18,17,0.9999999999983753
0,19,17,0.9999999999933538
0,20,17,0.9999999999602107
0,21,17,0.9999999997884699
0,22,17,0.9999999990442592
0,23,17,0.9999999962396597
0,24,18,0.9999999944419873
0,25,18,0.9999999922427496
0,26,18,0.9999999852307486
0,27,18,0.9999999646393309
0,28,18,0.999999908354426
0,29,18,0.9999997639632507
0,30,18,0.9999994140260691
0,31,19,0.9999992932474008
0,32,19,0.9999990626290342
0,33,19,0.9999985383837918
0,34,19,0.9999973977431745
0,35,19,0.9999950147425517
0,36,19,0.9999902213127102
0,37,20,0.9999813754949584
0,38,20,0.9999783125949245
0,39,20,0.9999723764982028
0,40,20,0.9999612320951913
0,41,20,0.9999409317894068
0,42,20,0.9999050015478558
0,43,20,0.999843131169827
0,44,21,0.9997496012214634
0,45,21,0.9997097762621755
0,46,21,0.9996426594154059
0,47,21,0.9995322679406674
0,48,21,0.9993549149160689
0,49,21,0.9990763815987441
0,50,21,0.9986484673874992
0,51,22,0.9980802344968916
0,52,22,0.9977960980233503
0,53,22,0.9973651775575044
0,54,22,0.9967246479390081
0,55,22,0.9957910216825236
0,56,22,0.9944559636190785
0,57,22,0.9925822405424823
0,58,23,0.9903057770220196
0,59,23,0.9890064651625268
0,60,23,0.9871965160385048
0,61,23,0.9847187393309456
0,62,23,0.9813841738393003
0,63,23,0.976971262966934
0,64,23,0.9712269607789779
0,65,24,0.9646743873032727
0,66,24,0.9604850183929753
0,67,24,0.9550520106624593
0,68,24,0.9481149935607712
0,69,24,0.93939259967243
0,70,24,0.9285904135792701
0,71,24,0.9154115981901539
0,72,25,0.9010506800205027
0,73,25,0.8908981761159792
0,74,25,0.8785237130547034
0,75,25,0.8636543990564283
0,76,25,0.8460376795921624
0,77,25,0.825455959545898
0,78,25,0.8017417398484278
0,79,26,0.7767599724789951
0,80,26,0.7574089924519514
0,81,26,0.7350855098727445
0,82,26,0.7096725947258389
0,83,26,0.6811218851595768
0,84,26,0.6494640255403589
0,85,26,0.6148161278994221
0,86,27,0.5792350004835874
0,87,27,0.5492310776934335
0,88,27,0.5162949496174855
0,89,27,0.4805906559485379
0,90,27,0.44236612423294297
0,91,27,0.4019499779376917
0,92,27,0.3597441322002947
0,93,28,0.317245673901019
